,Unnamed: 0,imdbid,year_x,rating,id,title,WikiID,Wikipedia movie ID,Freebase movie ID,Movie name,Movie release date,Movie box office revenue,Movie runtime,Movie languages (Freebase ID:name tuples),Movie countries (Freebase ID:name tuples),Movie genres (Freebase ID:name tuples),year_y,genres,Production Company
0,2,2221420.0,1878,0,9603,Sallie Gardner at a Gallop,26044155.0,26044155,/m/0b6f62m,Sallie Gardner at a Gallop,,,0.05,"{""/m/06ppq"": ""Silent film""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film""}",,"{'/m/02hmvc': 'Short Film', '/m/06ppq': 'Silent film'}",
1,13,392728.0,1888,0,8040,Roundhay Garden Scene,1082508.0,1082508,/m/044ggd,Roundhay Garden Scene,,,0.03,"{""/m/06ppq"": ""Silent film""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white""}",,"{'/m/02hmvc': 'Short Film', '/m/06ppq': 'Silent film', '/m/0219x_': 'Indie', '/m/01g6gs': 'Black-and-white'}",
2,18,466876.0,1889,0,9619,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",12170539.0,12170539,/m/02vs8rb,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",,,,"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white""}",,"{'/m/02hmvc': 'Short Film', '/m/06ppq': 'Silent film', '/m/0219x_': 'Indie', '/m/01g6gs': 'Black-and-white'}",
3,19,2116898.0,1889,0,9945,Hyde Park Corner,12170539.0,12170539,/m/02vs8rb,"Leisurely Pedestrians, Open Topped Buses and Hansom Cabs with Trotting Horses",,,,"{""/m/06ppq"": ""Silent film"", ""/m/02h40lc"": ""English Language""}","{""/m/07ssc"": ""United Kingdom""}","{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white""}",,"{'/m/02hmvc': 'Short Film', '/m/06ppq': 'Silent film', '/m/0219x_': 'Indie', '/m/01g6gs': 'Black-and-white'}",
4,20,361921.0,1890,0,9617,"Monkeyshines, No. 1",6431996.0,6431996,/m/0g53t3,"Monkeyshines, No. 1",,,,"{""/m/06ppq"": ""Silent film""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06ppq"": ""Silent film""}",,{'/m/06ppq': 'Silent film'},Edison Studios
5,21,416046.0,1890,0,9618,"Monkeyshines, No. 2",6431996.0,6431996,/m/0g53t3,"Monkeyshines, No. 1",,,,"{""/m/06ppq"": ""Silent film""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06ppq"": ""Silent film""}",,{'/m/06ppq': 'Silent film'},Edison Studios
6,23,416047.0,1890,0,9678,"Monkeyshines, No. 3",6431996.0,6431996,/m/0g53t3,"Monkeyshines, No. 1",,,,"{""/m/06ppq"": ""Silent film""}","{""/m/09c7w0"": ""United States of America""}","{""/m/06ppq"": ""Silent film""}",,{'/m/06ppq': 'Silent film'},Edison Studios
7,26,241373.0,1891,0,9626,Dickson Greeting,644824.0,644824,/m/02_1qn,Dickson Greeting,,,0.05,{},"{""/m/09c7w0"": ""United States of America""}","{""/m/02hmvc"": ""Short Film"", ""/m/0219x_"": ""Indie""}",,"{'/m/02hmvc': 'Short Film', '/m/0219x_': 'Indie'}",
8,27,241715.0,1891,0,9628,Men Boxing,32175981.0,32175981,/m/0gy0t95,Men Boxing,,,0.0833333333333,"{""/m/06ppq"": ""Silent film""}",{},"{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film""}",,"{'/m/02hmvc': 'Short Film', '/m/06ppq': 'Silent film'}",Edison Studios
9,28,241763.0,1891,0,9629,Newark Athlete,27773121.0,27773121,/m/0cc8h1v,Newark Athlete,,,0.2,{},{},"{""/m/02hmvc"": ""Short Film""}",,{'/m/02hmvc': 'Short Film'},Edison Studios
10,36,3.0,1892,0,5433,Pauvre Pierrot,6431647.0,6431647,/m/0g53g2,Pauvre Pierrot,1892-10-28,,,"{""/m/06ppq"": ""Silent film""}","{""/m/0f8l9c"": ""France""}","{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/0hcr"": ""Animation""}",1892.0,"{'/m/02hmvc': 'Short Film', '/m/06ppq': 'Silent film', '/m/0219x_': 'Indie', '/m/0hcr': 'Animation'}",
11,37,4.0,1892,0,9631,Un bon bock,9999926.0,9999926,/m/02pzdsc,Un bon bock,1892-10-28,,,"{""/m/06ppq"": ""Silent film""}","{""/m/0f8l9c"": ""France""}","{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/0hcr"": ""Animation""}",1892.0,"{'/m/02hmvc': 'Short Film', '/m/06ppq': 'Silent film', '/m/0219x_': 'Indie', '/m/0hcr': 'Animation'}",
12,38,2.0,1892,0,9632,Le clown et ses chiens,9996498.0,9996498,/m/02pz844,Le Clown et ses chiens,1892-10-28,,,"{""/m/06ppq"": ""Silent film""}","{""/m/0f8l9c"": ""France""}","{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/0hcr"": ""Animation""}",1892.0,"{'/m/02hmvc': 'Short Film', '/m/06ppq': 'Silent film', '/m/0219x_': 'Indie', '/m/0hcr': 'Animation'}",
13,43,5.0,1893,0,9583,Blacksmith Scene,73372.0,73372,/m/0jq3g,Blacksmith Scene,,,0.566666666667,"{""/m/06ppq"": ""Silent film""}","{""/m/09c7w0"": ""United States of America""}","{""/m/02hmvc"": ""Short Film"", ""/m/06ppq"": ""Silent film"", ""/m/0219x_"": ""Indie"", ""/m/01g6gs"": ""Black-and-white""}",,"{'/m/02hmvc': 'Short Film', '/m/06ppq': 'Silent film', '/m/0219x_': 'Indie', '/m/01g6gs': 'Black-and-white'}",Edison Studios
